gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
IL36G	2874.9345880114	4.89106812138935	0.150630858288471	32.4587566203989	4.07555645270025e-231	8.74981214830217e-227
KYNU	668.839239577929	5.10142315010189	0.160524698855223	31.7363657727087	4.89690982753985e-221	5.25658785437265e-217
GJB2	19512.9475811449	4.92509773918221	0.158252831172303	31.1143215952015	1.54194666531195e-212	1.10346843191941e-208
FABP5	6508.10248111232	3.47884218185752	0.111971371329568	31.0671493353047	6.69378887173887e-212	3.59272383218405e-208
PRSS27	264.474704323143	4.22530711465525	0.14470848324859	29.1574010711498	6.73098054223973e-187	2.89014842522689e-183
PLA2G4D	3015.14614528978	3.99253105538129	0.137296767992072	29.0743642803528	7.57361464961824e-186	2.70996554854423e-182
TMPRSS11D	583.552261602732	6.9502230569016	0.237477841865244	29.0020601848105	6.19753184106513e-185	1.90078301565468e-181
CLEC7A	493.889731894887	3.61950188536746	0.126902239014008	28.5093173649135	8.97905323017421e-179	2.40964117248263e-175
NOD2	789.90448487877	1.70506063277482	0.0634062119034336	26.8904771000962	2.83830968984612e-159	6.77063008125625e-156
KLK13	658.419907529074	3.64075281208365	0.135726033904979	26.8147632480749	2.17396079515858e-158	4.66727643112595e-155
UPP1	352.912815986983	4.28868563120712	0.160691510615344	26.6556667902765	1.53847686589012e-156	3.00268725761773e-153
ZC3H12A	1588.98259357087	3.40562284223804	0.128155137700572	26.5701048208004	1.50450622398339e-155	2.69168701022494e-152
TPBG	869.649361330822	2.22288195910532	0.0836786816190739	26.563112485223	1.81210627469998e-155	2.99262381627184e-152
ZSCAN18	169.999186355144	-3.09891592102405	0.116757047713563	-26.5000503560198	9.67938181958091e-155	1.48433320203273e-151
CNFN	3180.8119402173	2.76658406045994	0.106079878290657	26.079019563393	6.30754027366757e-150	9.02777214235793e-147
SERPINB3	11535.9097959534	6.01306387234013	0.232042701187214	25.8840144836133	1.00803389866076e-147	1.35259248564674e-144
C10orf99	1152.74147674788	4.69330333628622	0.181327154173437	25.8622719743188	1.77072083354612e-147	2.23621209267068e-144
TREX2	534.911149646404	3.03604303818131	0.118025069437895	25.7180993744019	7.33467633168502e-146	8.74823145360809e-143
GJB6	6228.66424384521	3.62663732237569	0.142472728850556	25.4516215408792	6.77365044447811e-143	7.65386849434214e-140
AKR1B10	1636.35832772374	5.54589561130772	0.217876838241181	25.4160319319453	1.67703946209368e-142	1.80021801058446e-139
PAPL	1355.97053415751	3.40437040707808	0.135287652993918	25.1593614577861	1.11627632424218e-139	1.14120649548358e-136
CD24P4	1491.44879205161	3.10629305142077	0.124214079907421	25.004643979241	5.44221740521406e-138	5.31086206693367e-135
PPP4R1	3012.69685865629	1.33844699970404	0.0537334582268382	24.9089330212599	5.95399537741538e-137	5.55766638077091e-134
PLBD1	2186.44086987457	2.20526082412734	0.0888881961484148	24.8087299893225	7.21690093236899e-136	6.45581858820958e-133
PI3	6648.61066126177	7.29354209804476	0.297221650805492	24.4689447957849	3.16370298423487e-132	2.71686157474153e-129
