pathway	pval	padj	log2err	ES	NES	size	leadingEdge	pathway_id	pathway_name
R-HSA-69601 :: Ubiquitin-Mediated Degradation of Phosphorylated Cdc25A	4.32747662322631e-17	1.105237529572e-15	1.06720998682811	0.781726986369786	2.8794490130353	50	CSNK1A1;PSMA3;PSMC4;PSMD11;FBXW11;PSMD6;PSMD2;CDC25A;PSMA5;CUL1;PSMA4;PSMA7;PSMD1;PSMB3;PSMB6;PSMB1;PSMD13;PSMD3;PSMC3;PSMB5;ADRM1;PSMC1;PSMB2;PSMD7;PSMC6;PSMD14;CHEK1;MAPK14;PSMC5;PSMB4;PSMD8;PSMD12;PLK3;PSMB7;CHEK2;PSMA1;RBX1;PSMC2;CSNK1E;PSMA6	R-HSA-69601	Ubiquitin-Mediated Degradation of Phosphorylated Cdc25A
R-HSA-69613 :: p53-Independent G1/S DNA Damage Checkpoint	4.32747662322631e-17	1.105237529572e-15	1.06720998682811	0.781726986369786	2.8794490130353	50	CSNK1A1;PSMA3;PSMC4;PSMD11;FBXW11;PSMD6;PSMD2;CDC25A;PSMA5;CUL1;PSMA4;PSMA7;PSMD1;PSMB3;PSMB6;PSMB1;PSMD13;PSMD3;PSMC3;PSMB5;ADRM1;PSMC1;PSMB2;PSMD7;PSMC6;PSMD14;CHEK1;MAPK14;PSMC5;PSMB4;PSMD8;PSMD12;PLK3;PSMB7;CHEK2;PSMA1;RBX1;PSMC2;CSNK1E;PSMA6	R-HSA-69613	p53-Independent G1/S DNA Damage Checkpoint
R-HSA-69017 :: CDK-mediated phosphorylation and removal of Cdc6	7.62444493839914e-17	1.909101213007e-15	1.05746357275086	0.746445213623229	2.86347376931758	59	CCNE1;PSMA3;CDC6;PSMC4;CCNA2;PSMD11;PSMD6;PSMD2;PSMA5;ANAPC7;PSMA4;PSMA7;PSMD1;PSMB3;UBE2C;PSMB6;PSMB1;PSMD13;PSMD3;PSMC3;UBE2S;PSMB5;ADRM1;PSMC1;PSMB2;PSMD7;PSMC6;PSMD14;PSMC5;CCNE2;ANAPC5;UBE2E1;PSMB4;PSMD8;PSMD12;PSMB7;PSMA1;PSMC2;ANAPC11;UBE2D1;PSMA6	R-HSA-69017	CDK-mediated phosphorylation and removal of Cdc6
R-HSA-351202 :: Metabolism of polyamines	1.13604880408717e-16	2.78987369772946e-15	1.04762648849882	0.795875904151767	2.8847143411353	45	PSMA3;PSMC4;PSMD11;PSMD6;PSMD2;PSMA5;PSMA4;PSMA7;PSMD1;PSMB3;SMOX;PSMB6;SRM;PSMB1;PSMD13;PSMD3;PSMC3;PSMB5;ADRM1;SAT1;PSMC1;PSMB2;PSMD7;PSMC6;PSMD14;OAZ1;PSMC5;PSMB4;PSMD8;PSMD12;PSMB7;AMD1;PSMA1;PSMC2;PSMA6	R-HSA-351202	Metabolism of polyamines
R-HSA-202424 :: Downstream TCR signaling	1.20382791915869e-16	2.89732737392992e-15	1.04762648849882	0.685671413007532	2.78424185870651	81	PRKCQ;PSMA3;PSMC4;PSMD11;FBXW11;PSMD6;PSMD2;PSMA5;CUL1;LCK;PSMA4;PSMA7;PSMD1;PSMB3;PSMB6;PSMB1;PSMD13;PSMD3;PSMC3;PSMB5;NFKB1;CD3D;ADRM1;PSMC1;PSMB2;PSMD7;PSMC6;PSMD14;CD247;CD3E;UBE2D2;UBE2N;PSMC5;CD3G;PSMB4;PSMD8;BCL10;PSMD12;PSMB7;PSMA1;MALT1;PSMC2;CARD11;UBE2D1;HLA-DPB1;NFKBIA;PSMA6;CHUK;HLA-DRA;HLA-DPA1;TRAC	R-HSA-202424	Downstream TCR signaling
R-HSA-69618 :: Mitotic Spindle Checkpoint	1.2251815050291e-16	2.89732737392992e-15	1.04762648849882	0.630648109465853	2.70224868656026	106	CENPN;KIF2C;ZWINT;ANAPC7;CDC20;NDC80;AURKB;BIRC5;ZWILCH;PLK1;UBE2C;SKA1;ERCC6L;SEC13;MAD2L1;UBE2S;CDCA8;NDEL1;SPC24;CENPE;BUB1;RANGAP1;NUF2;CENPO;KIF18A;SPC25;CENPL;BUB1B;KIF2A;PPP2CA;ANAPC5;DYNLL1;UBE2E1;SKA2;NUP107;CENPI;CENPF;CENPK;INCENP;ANAPC11;NUP85;UBE2D1;RCC2;BUB3;TAOK1;MAPRE1;PPP2R5B;CENPH;CENPA;NUP37;DSN1;PPP2R1B;CKAP5;CDC26;SEH1L;PPP1CC;PPP2R1A;MIS12;CENPQ;KNTC1;PMF1;CDC23;SPDL1	R-HSA-69618	Mitotic Spindle Checkpoint
R-HSA-9907900 :: Proteasome assembly	1.6162828373679e-16	3.75271487876147e-15	1.04762648849882	0.782775269808733	2.86670750691541	49	PSME2;PSMA3;PSMC4;PSMD11;PSMD6;PSMD2;PSMA5;PSMB10;PSMA4;PSMA7;PSMD1;PSME1;PSMB3;PSMB6;PSMB8;PSMB1;POMP;PSMD13;PSMD3;PSMC3;PSMB5;ADRM1;PSMG1;PSMC1;PSMB2;PSMD7;PSMC6;PSMD14;PSME3;PSMC5;PSMB4;PSMD8;PSMB9;PSMD12;PSMG3;PSMB7;PSMA1;PSMC2;PSMA6;PSMD4	R-HSA-9907900	Proteasome assembly
R-HSA-5389840 :: Mitochondrial translation elongation	1.69498292444237e-16	3.86516641877305e-15	1.04762648849882	0.641975676512536	2.73437528428138	102	MRPS15;MRPS7;MRPS11;MRPL37;MRPL47;MRPS12;TUFM;MRPL4;GADD45GIP1;AURKAIP1;TSFM;MRPL51;MRPL52;MRPL20;MRPS22;MRPL32;MRPL27;MRPL13;MRPL16;MRPS16;MRPL11;MRPL21;MRPL28;MRPS2;MRPL3;MRPL10;OXA1L;MRPS5;MRPL55;MRPL35;MRPL17;CHCHD1;MRPL36;MRPS21;MRPS10;MRPL15;MRPS34;MRPS6;MRPL39;MRPL22;MRPL12;MRPL2;MRPS18A;MRPL14;MRPL54;MRPS23;MRPS35;ERAL1;MRPS9;MRPL41;MRPL57;MRPL18;MRPL46;MRPL49;DAP3;MRPL9;MRPS18B;MRPL23;MRPL1;MRPL43;MRPL34;MRPS31;MRPS26;MRPL48;MRPL44;MRPL40;MRPL24;MRPS25;GFM1;MRPS33	R-HSA-5389840	Mitochondrial translation elongation
R-HSA-174154 :: APC/C:Cdc20 mediated degradation of Securin	3.06936705092164e-16	6.87645916495952e-15	1.03769615548758	0.761999361184905	2.85779841460403	54	PTTG1;PSMA3;PSMC4;PSMD11;PSMD6;PSMD2;PSMA5;ANAPC7;PSMA4;CDC20;PSMA7;PSMD1;PSMB3;UBE2C;PSMB6;PSMB1;PSMD13;PSMD3;PSMC3;UBE2S;PSMB5;ADRM1;PSMC1;PSMB2;PSMD7;PSMC6;PSMD14;PSMC5;ANAPC5;UBE2E1;PSMB4;PSMD8;PSMD12;PSMB7;PSMA1;PSMC2;ANAPC11;UBE2D1;PSMA6	R-HSA-174154	APC/C:Cdc20 mediated degradation of Securin
R-HSA-5368286 :: Mitochondrial translation initiation	3.15436218840486e-16	6.94503536998794e-15	1.03769615548758	0.639694299122518	2.72465818412071	102	MRPS15;MRPS7;MRPS11;MRPL37;MRPL47;MTIF2;MRPS12;MRPL4;GADD45GIP1;AURKAIP1;MRPL51;MRPL52;MRPL20;MRPS22;MTFMT;MRPL32;MRPL27;MRPL13;MRPL16;MRPS16;MRPL11;MRPL21;MRPL28;MRPS2;MRPL3;MRPL10;OXA1L;MRPS5;MRPL55;MRPL35;MRPL17;CHCHD1;MRPL36;MRPS21;MRPS10;MRPL15;MRPS34;MRPS6;MRPL39;MRPL22;MRPL12;MRPL2;MRPS18A;MRPL14;MRPL54;MRPS23;MRPS35;ERAL1;MRPS9;MRPL41;MRPL57;MRPL18;MRPL46;MRPL49;DAP3;MRPL9;MRPS18B;MRPL23;MRPL1;MRPL43;MRPL34;MRPS31;MRPS26;MRPL48;MRPL44;MRPL40;MRPL24;MRPS25	R-HSA-5368286	Mitochondrial translation initiation
R-HSA-202403 :: TCR signaling	3.62469100172166e-16	7.84530577830264e-15	1.03769615548758	0.637211907274685	2.70426870572915	101	PRKCQ;PSMA3;PSMC4;PSMD11;FBXW11;PSMD6;PSMD2;PSMA5;CUL1;LCK;PSMA4;PSMA7;PSMD1;PSMB3;PSMB6;ENAH;PSMB1;PSMD13;PSMD3;PSMC3;PSMB5;NFKB1;CD3D;ADRM1;PLCG2;PSMC1;PSMB2;PSMD7;PSMC6;PSMD14;CD247;CD3E;PTPN22;UBE2D2;CSK;UBE2N;PSMC5;CD3G;PSMB4;PSMD8;BCL10;ITK;PSMD12;LCP2;PSMB7;PTPRC;PSMA1;MALT1;PSMC2;CARD11;UBE2D1;HLA-DPB1;NFKBIA;PSMA6;CHUK;HLA-DRA;HLA-DPA1;TRAC	R-HSA-202403	TCR signaling
R-HSA-1236978 :: Cross-presentation of soluble exogenous antigens (endosomes)	3.7507617621228e-16	7.98287128371802e-15	1.03769615548758	0.817678209504403	2.86058038162426	39	PSME2;PSMA3;PSMC4;PSMD11;PSMD6;PSMD2;PSMA5;PSMB10;PSMA4;PSMA7;PSMD1;PSME1;PSMB3;PSMB6;PSMB8;PSMB1;PSMD13;PSMD3;PSMC3;PSMB5;ADRM1;PSMC1;PSMB2;PSMD7;PSMC6;PSMD14;PSMC5;PSMB4;PSMD8;PSMB9;PSMD12;PSMB7;PSMA1;PSMC2;PSMA6	R-HSA-1236978	Cross-presentation of soluble exogenous antigens (endosomes)
R-HSA-5419276 :: Mitochondrial translation termination	4.38361278764707e-16	9.17684185217263e-15	1.03769615548758	0.634159219150244	2.71108808890255	103	MRPS15;MRPS7;MRPS11;MRPL37;MRPL47;MRPS12;MRPL4;GADD45GIP1;AURKAIP1;MRPL51;MRPL52;MRPL20;MRPS22;MRPL32;MRPL27;MRPL13;MRPL16;MRPS16;MRPL11;MRPL21;MRPL28;MRPS2;MRPL3;MRPL10;OXA1L;MRPS5;MRPL55;MRPL35;MRPL17;MRRF;CHCHD1;MRPL36;MRPS21;MRPS10;MRPL15;MRPS34;MRPS6;MRPL39;MRPL22;MRPL12;MRPL2;MRPS18A;MRPL14;MRPL54;MRPS23;MRPS35;ERAL1;MRPS9;MRPL41;MRPL57;MRPL18;MRPL46;MRPL49;DAP3;MRPL9;MRPS18B;MRPL23;MRPL1;MRPL43;MRPL34;MRPS31;MRPS26;MRPL48;MRPL44;MRPL40;MRPL24;MRPS25	R-HSA-5419276	Mitochondrial translation termination
R-HSA-9839923 :: Dengue Virus Infection	4.94260210051945e-16	1.01801659392957e-14	1.02766987054358	0.460533615129154	2.25908014336281	322	LYN;P4HB;AP2S1;KPNA2;VCP;EIF4A3;FURIN;SRSF9;NPLOC4;MMP9;DNAJB11;EIF4E;HNRNPL;CALR;UBA6;PAF1;NFKBIB;SNRPG;CCAR1;DDOST;IFIH1;EIF4G2;SEC11C;TUSC3;POLR2H;RPN2;U2AF2;STAT2;TRIM25;PPIL1;ALYREF;DYNLT1;CD2BP2;YBX1;GRPEL1;POLR2L;AP2M1;HYOU1;EFTUD2;NEK2;SNRPF;PML;POLR2E;MAPKAP1;MLST8;PDIA3;BUD31;PLRG1;CPSF3;HNRNPM;HSPA8;SRSF1;SUGP1;HSPA5;CANX;RPN1;SNRPD1;AUP1;DNAJA2;SNRNP40;NRBP1;HNRNPA2B1;SRSF2;SF3B5;SNRPD3;PTBP1;UBA1;KPNB1;IKBKE;POLR2G;GTF2F1;BECN1;PUF60;HNRNPC;NCL;SNRPB;DDX23;DNAJC8;CSTF2;RBM17;DDX5;SF3A3;RBM22;RRBP1;BTF3;NFKBIA;PRCC;TMEM258;DAD1;SF3B6;POLR2C;TAOK1;DPM1;SNRPA1;STT3B;CPSF4;SPCS3;OSTC;SPCS1;LEO1;RBM10;SNRPB2;CLINT1;POLR2J;NMT1;SRRT;NCBP2;CWC25;TXNL4A;CLP1;HNRNPH2;DHX9;EMC4;PRR5;CPSF2;CLEC5A;SF3B4;TJP1;DDX3X;UBA7;HNRNPK;SNRPE;PHF5A;EIF4G1;CWC15;STT3A;ISY1;POLR2B;UBA52;POLR2I;UBA5;DPM2;CTNNBL1;SPCS2;DNAJC3;HNRNPF;SRSF7;ATG7;MTOR;EIF4A1;SRSF6;SNRPD2;CTR9;ELAVL1;KPNA3;BCAS2;DAXX;SRSF3;RNPS1	R-HSA-9839923	Dengue Virus Infection
R-HSA-5676590 :: NIK-->noncanonical NF-kB signaling	5.03965261099789e-16	1.02152958480068e-14	1.02766987054358	0.78584416581285	2.84835352244255	45	PSMA3;PSMC4;PSMD11;FBXW11;PSMD6;PSMD2;PSMA5;CUL1;PSMA4;PSMA7;PSMD1;PSMB3;PSMB6;PSMB1;PSMD13;PSMD3;PSMC3;UBE2M;PSMB5;ADRM1;PSMC1;PSMB2;PSMD7;PSMC6;PSMD14;PSMC5;PSMB4;PSMD8;RELB;PSMD12;PSMB7;PSMA1;PSMC2;PSMA6;CHUK	R-HSA-5676590	NIK-->noncanonical NF-kB signaling
R-HSA-109581 :: Apoptosis	5.35554914444495e-16	1.06859941522753e-14	1.02766987054358	0.56604822281307	2.54482786781455	155	PRKCQ;DSG3;TNFSF10;STAT3;CASP7;PSMA3;PSMC4;TFDP1;DBNL;YWHAQ;PSMD11;PSMD6;PSMD2;BAX;PSMA5;CYCS;GZMB;C1QBP;PSMA4;PSMA7;PSMD1;SFN;LMNB1;PSMB3;MAPK3;PSMB6;TJP2;PSMB1;TNFRSF10B;PSMD13;PSMD3;PSMC3;PSMB5;ADRM1;CLSPN;PSMC1;AVEN;PSMB2;PSMD7;BCAP31;PSMC6;PSMD14;GSDMD;DAPK3;CASP8;BAK1;PSMC5;DYNLL1;PSMB4;PSMD8;DNM1L;BID;BCL2L1;PSMD12;KPNB1;TNFRSF10A;AKT2;PSMB7;YWHAH;PSMA1;YWHAZ;PMAIP1;YWHAG;YWHAE;YWHAB;PSMC2;CDKN2A;BCL2L11;FNTA;PSMA6;MAPK8;FASLG;HMGB2	R-HSA-109581	Apoptosis
R-HSA-5610780 :: Degradation of GLI1 by the proteasome	9.78955967422374e-16	1.90690524643315e-14	1.01754479730988	0.781720100040482	2.83340552412362	45	PSMA3;PSMC4;PSMD11;PSMD6;PSMD2;PSMA5;CUL1;PSMA4;PSMA7;PSMD1;PSMB3;PSMB6;PSMB1;PSMD13;PSMD3;PSMC3;PSMB5;ADRM1;PSMC1;PSMB2;PSMD7;PSMC6;PSMD14;PSMC5;PSMB4;PSMD8;PSMD12;PSMB7;PSMA1;RBX1;PSMC2;PSMA6	R-HSA-5610780	Degradation of GLI1 by the proteasome
