pathway	pval	padj	log2err	ES	NES	size	leadingEdge	pathway_id	pathway_name
R-HSA-1839117 :: Signaling by cytosolic FGFR1 fusion mutants	0.737394957983193	0.772509003601441	0.0621124188949471	-0.266890887702962	-0.799897512758484	17	PIK3R1;GAB2;PIK3CA;STAT5B;ZMYM2;TRIM24	R-HSA-1839117	Signaling by cytosolic FGFR1 fusion mutants
R-HSA-5637810 :: Constitutive Signaling by EGFRvIII	0.74573055028463	0.779960805051793	0.0567672387487446	0.28166962328336	0.816176279536551	15	CDC37;SHC1;HRAS;GRB2	R-HSA-5637810	Constitutive Signaling by EGFRvIII
R-HSA-5637812 :: Signaling by EGFRvIII in Cancer	0.74573055028463	0.779960805051793	0.0567672387487446	0.28166962328336	0.816176279536551	15	CDC37;SHC1;HRAS;GRB2	R-HSA-5637812	Signaling by EGFRvIII in Cancer
R-HSA-1839124 :: FGFR1 mutant receptor activation	0.754756871035941	0.788754928289812	0.0613026075396207	-0.256608771665461	-0.816947061264606	22	PIK3R1;GAB2;PIK3CA;FGFR1;STAT5B;ZMYM2;TRIM24;BAG4	R-HSA-1839124	FGFR1 mutant receptor activation
R-HSA-6783589 :: Interleukin-6 family signaling	0.761814744801512	0.795479226159353	0.0555947097758869	0.250395696370228	0.799240407742599	22	STAT3;OSMR;SOCS3;STAT1;OSM	R-HSA-6783589	Interleukin-6 family signaling
R-HSA-6803204 :: TP53 Regulates Transcription of Genes Involved in Cytochrome C Release	0.76425855513308	0.797378508871472	0.0557104226766671	0.258440310557728	0.80314176165416	20	PRELID1;BAX;STEAP3;BID;TRIAP1	R-HSA-6803204	TP53 Regulates Transcription of Genes Involved in Cytochrome C Release
R-HSA-1592389 :: Activation of Matrix Metalloproteinases	0.767441860465116	0.800045599635203	0.0605092988656667	-0.253422291959262	-0.806802492881915	22	TIMP2;MMP16;CTSV;CMA1;MMP7;CTSG;MMP2;CTSK;MMP24;ELANE;COL18A1;TPSAB1;MMP14	R-HSA-1592389	Activation of Matrix Metalloproteinases
R-HSA-9675151 :: Disorders of Developmental Biology	0.768577494692145	0.800575414879328	0.060640400949416	-0.25984543418654	-0.787982980263208	18	MECP2;NCOR2;TBL1XR1;SIN3A;NCOR1	R-HSA-9675151	Disorders of Developmental Biology
R-HSA-5693565 :: Recruitment and ATM-mediated phosphorylation of repair and signaling proteins at DNA double strand breaks	0.774011299435028	0.803611406085513	0.0546808488785442	0.226692266523541	0.821672628553015	37	RNF168;UBE2N;MAPK8;CHEK2;UBA52;BRCA1;SMARCA5;BRCC3;PPP5C;BABAM1;UBXN1;UIMC1;NBN;RAD50;RPS27A	R-HSA-5693565	Recruitment and ATM-mediated phosphorylation of repair and signaling proteins at DNA double strand breaks
R-HSA-9613829 :: Chaperone Mediated Autophagy	0.773764258555133	0.803611406085513	0.0551351763385257	0.256032091262452	0.795657861472011	20	PLIN3;HSPA8;PARK7;UBA52	R-HSA-9613829	Chaperone Mediated Autophagy
R-HSA-9034015 :: Signaling by NTRK3 (TRKC)	0.773109243697479	0.803611406085513	0.0598603117764473	-0.258620243314147	-0.775109600617828	17	PIK3R1;PTPRS;IRS1;PIK3CA;NTF3;NTRK3;SOS1;NRAS	R-HSA-9034015	Signaling by NTRK3 (TRKC)
R-HSA-2024101 :: CS/DS degradation	0.773019271948608	0.803611406085513	0.0607719451853533	-0.25657188690629	-0.78504899396771	19	IDS;BGN;DCN;CSPG4	R-HSA-2024101	CS/DS degradation
R-HSA-2980736 :: Peptide hormone metabolism	0.775956284153005	0.804752062574765	0.0530212512043078	0.206683541145119	0.83201786957032	58	P4HB;CTSD;EXOC3;SEC11C;MYO5A;RAB27A;SPCS3;SPCS1;REN;SPCS2;ACE2;EXOC7;ISL1;EXOC5;GZMH	R-HSA-2980736	Peptide hormone metabolism
R-HSA-5654687 :: Downstream signaling of activated FGFR1	0.776371308016878	0.804752062574765	0.0598603117764473	-0.256896539871753	-0.805849577517522	21	PIK3R1;FLRT2;PIK3CA;FGFR1;FGF22;SOS1;NRAS;FGF2;FLRT1;FLRT3;FGF1;FRS2	R-HSA-5654687	Downstream signaling of activated FGFR1
R-HSA-913709 :: O-linked glycosylation of mucins	0.778508771929825	0.806312656641604	0.0615706755421678	-0.211822891345182	-0.832892807267748	48	MUC15;ST6GALNAC2;GCNT1;GALNT15;GALNT16;MUC16;GALNT8;ST3GAL3;B3GNTL1;GALNT13;ST3GAL2	R-HSA-913709	O-linked glycosylation of mucins
R-HSA-9008059 :: Interleukin-37 signaling	0.779443254817987	0.806625785196879	0.0603786357920401	-0.256043122468772	-0.783431100461432	19	PTPN14;IL37	R-HSA-9008059	Interleukin-37 signaling
R-HSA-75876 :: Synthesis of very long-chain fatty acyl-CoAs	0.783613445378151	0.810284243356986	0.059221919380382	-0.24305789941079	-0.784588111863154	23	SLC27A3;HACD4;ACSBG1;ELOVL3;ELOVL6;HACD3;ACSL1	R-HSA-75876	Synthesis of very long-chain fatty acyl-CoAs
R-HSA-1483191 :: Synthesis of PC	0.784644194756554	0.810693111343614	0.05378728077603	0.243487648568355	0.799186165804485	25	LPCAT1;LPIN2;SLC44A2;LPIN3;STARD7;ABHD3;SLC44A4;CEPT1;CSNK2B;STARD10	R-HSA-1483191	Synthesis of PC
R-HSA-445717 :: Aquaporin-mediated transport	0.787234042553192	0.812710872409282	0.0596037042575973	-0.224444843773897	-0.81175337341471	34	AQP9;GNB1;ADCY2;AQP7;PRKAR2B;AQP1;RAB11FIP2;GNG12;ADCY6;GNG7;ADCY5;GNG11;GNB4	R-HSA-445717	Aquaporin-mediated transport
R-HSA-452723 :: Transcriptional regulation of pluripotent stem cells	0.794432548179872	0.819479330216262	0.059476028695732	-0.254004095711726	-0.777192163204535	19	SMAD4;TSC22D1;GATA6;KLF4;HIF3A;SMAD2;DKK1;FGF2	R-HSA-452723	Transcriptional regulation of pluripotent stem cells
